,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
183,1,2,male,1.00,2,1,39,S,Second,child,FALSE,F,Southampton,yes,FALSE
184,1,3,female,4.00,0,2,22.025,S,Third,child,FALSE,,Southampton,yes,FALSE
185,0,1,male,,0,0,50,S,First,man,TRUE,A,Southampton,no,TRUE
186,1,3,female,,1,0,15.5,Q,Third,woman,FALSE,,Queenstown,yes,FALSE
187,1,1,male,45.00,0,0,26.55,S,First,man,TRUE,,Southampton,yes,TRUE
188,0,3,male,40.00,1,1,15.5,Q,Third,man,TRUE,,Queenstown,no,FALSE
189,0,3,male,36.00,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
190,1,2,female,32.00,0,0,13,S,Second,woman,FALSE,,Southampton,yes,TRUE
191,0,2,male,19.00,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE
192,1,3,female,19.00,1,0,7.8542,S,Third,woman,FALSE,,Southampton,yes,FALSE
193,1,2,male,3.00,1,1,26,S,Second,child,FALSE,F,Southampton,yes,FALSE
194,1,1,female,44.00,0,0,27.7208,C,First,woman,FALSE,B,Cherbourg,yes,TRUE
195,1,1,female,58.00,0,0,146.5208,C,First,woman,FALSE,B,Cherbourg,yes,TRUE
196,0,3,male,,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE
197,0,3,male,42.00,0,1,8.4042,S,Third,man,TRUE,,Southampton,no,FALSE
198,1,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
199,0,2,female,24.00,0,0,13,S,Second,woman,FALSE,,Southampton,no,TRUE
200,0,3,male,28.00,0,0,9.5,S,Third,man,TRUE,,Southampton,no,TRUE
201,0,3,male,,8,2,69.55,S,Third,man,TRUE,,Southampton,no,FALSE
202,0,3,male,34.00,0,0,6.4958,S,Third,man,TRUE,,Southampton,no,TRUE
203,0,3,male,45.50,0,0,7.225,C,Third,man,TRUE,,Cherbourg,no,TRUE
204,1,3,male,18.00,0,0,8.05,S,Third,man,TRUE,,Southampton,yes,TRUE
205,0,3,female,2.00,0,1,10.4625,S,Third,child,FALSE,G,Southampton,no,FALSE
206,0,3,male,32.00,1,0,15.85,S,Third,man,TRUE,,Southampton,no,FALSE
207,1,3,male,26.00,0,0,18.7875,C,Third,man,TRUE,,Cherbourg,yes,TRUE
208,1,3,female,16.00,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
209,1,1,male,40.00,0,0,31,C,First,man,TRUE,A,Cherbourg,yes,TRUE
210,0,3,male,24.00,0,0,7.05,S,Third,man,TRUE,,Southampton,no,TRUE
211,1,2,female,35.00,0,0,21,S,Second,woman,FALSE,,Southampton,yes,TRUE
212,0,3,male,22.00,0,0,7.25,S,Third,man,TRUE,,Southampton,no,TRUE
213,0,2,male,30.00,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE
214,0,3,male,,1,0,7.75,Q,Third,man,TRUE,,Queenstown,no,FALSE
215,1,1,female,31.00,1,0,113.275,C,First,woman,FALSE,D,Cherbourg,yes,FALSE
216,1,3,female,27.00,0,0,7.925,S,Third,woman,FALSE,,Southampton,yes,TRUE
217,0,2,male,42.00,1,0,27,S,Second,man,TRUE,,Southampton,no,FALSE
218,1,1,female,32.00,0,0,76.2917,C,First,woman,FALSE,D,Cherbourg,yes,TRUE
219,0,2,male,30.00,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE
220,1,3,male,16.00,0,0,8.05,S,Third,man,TRUE,,Southampton,yes,TRUE
221,0,2,male,27.00,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE
222,0,3,male,51.00,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
223,0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
224,1,1,male,38.00,1,0,90,S,First,man,TRUE,C,Southampton,yes,FALSE
225,0,3,male,22.00,0,0,9.35,S,Third,man,TRUE,,Southampton,no,TRUE
226,1,2,male,19.00,0,0,10.5,S,Second,man,TRUE,,Southampton,yes,TRUE
227,0,3,male,20.50,0,0,7.25,S,Third,man,TRUE,,Southampton,no,TRUE
228,0,2,male,18.00,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE
229,0,3,female,,3,1,25.4667,S,Third,woman,FALSE,,Southampton,no,FALSE
230,1,1,female,35.00,1,0,83.475,S,First,woman,FALSE,C,Southampton,yes,FALSE
231,0,3,male,29.00,0,0,7.775,S,Third,man,TRUE,,Southampton,no,TRUE
232,0,2,male,59.00,0,0,13.5,S,Second,man,TRUE,,Southampton,no,TRUE
233,1,3,female,5.00,4,2,31.3875,S,Third,child,FALSE,,Southampton,yes,FALSE
234,0,2,male,24.00,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE
235,0,3,female,,0,0,7.55,S,Third,woman,FALSE,,Southampton,no,TRUE
236,0,2,male,44.00,1,0,26,S,Second,man,TRUE,,Southampton,no,FALSE
237,1,2,female,8.00,0,2,26.25,S,Second,child,FALSE,,Southampton,yes,FALSE
238,0,2,male,19.00,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE
239,0,2,male,33.00,0,0,12.275,S,Second,man,TRUE,,Southampton,no,TRUE
240,0,3,female,,1,0,14.4542,C,Third,woman,FALSE,,Cherbourg,no,FALSE
241,1,3,female,,1,0,15.5,Q,Third,woman,FALSE,,Queenstown,yes,FALSE
242,0,2,male,29.00,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE
243,0,3,male,22.00,0,0,7.125,S,Third,man,TRUE,,Southampton,no,TRUE
244,0,3,male,30.00,0,0,7.225,C,Third,man,TRUE,,Cherbourg,no,TRUE
245,0,1,male,44.00,2,0,90,Q,First,man,TRUE,C,Queenstown,no,FALSE
246,0,3,female,25.00,0,0,7.775,S,Third,woman,FALSE,,Southampton,no,TRUE
247,1,2,female,24.00,0,2,14.5,S,Second,woman,FALSE,,Southampton,yes,FALSE
248,1,1,male,37.00,1,1,52.5542,S,First,man,TRUE,D,Southampton,yes,FALSE
249,0,2,male,54.00,1,0,26,S,Second,man,TRUE,,Southampton,no,FALSE
250,0,3,male,,0,0,7.25,S,Third,man,TRUE,,Southampton,no,TRUE
251,0,3,female,29.00,1,1,10.4625,S,Third,woman,FALSE,G,Southampton,no,FALSE
252,0,1,male,62.00,0,0,26.55,S,First,man,TRUE,C,Southampton,no,TRUE
253,0,3,male,30.00,1,0,16.1,S,Third,man,TRUE,,Southampton,no,FALSE
254,0,3,female,41.00,0,2,20.2125,S,Third,woman,FALSE,,Southampton,no,FALSE
255,1,3,female,29.00,0,2,15.2458,C,Third,woman,FALSE,,Cherbourg,yes,FALSE
256,1,1,female,,0,0,79.2,C,First,woman,FALSE,,Cherbourg,yes,TRUE
257,1,1,female,30.00,0,0,86.5,S,First,woman,FALSE,B,Southampton,yes,TRUE
258,1,1,female,35.00,0,0,512.3292,C,First,woman,FALSE,,Cherbourg,yes,TRUE
259,1,2,female,50.00,0,1,26,S,Second,woman,FALSE,,Southampton,yes,FALSE
260,0,3,male,,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE
261,1,3,male,3.00,4,2,31.3875,S,Third,child,FALSE,,Southampton,yes,FALSE
262,0,1,male,52.00,1,1,79.65,S,First,man,TRUE,E,Southampton,no,FALSE
263,0,1,male,40.00,0,0,0,S,First,man,TRUE,B,Southampton,no,TRUE
264,0,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,no,TRUE
265,0,2,male,36.00,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE
266,0,3,male,16.00,4,1,39.6875,S,Third,man,TRUE,,Southampton,no,FALSE
267,1,3,male,25.00,1,0,7.775,S,Third,man,TRUE,,Southampton,yes,FALSE
268,1,1,female,58.00,0,1,153.4625,S,First,woman,FALSE,C,Southampton,yes,FALSE
269,1,1,female,35.00,0,0,135.6333,S,First,woman,FALSE,C,Southampton,yes,TRUE
270,0,1,male,,0,0,31,S,First,man,TRUE,,Southampton,no,TRUE
271,1,3,male,25.00,0,0,0,S,Third,man,TRUE,,Southampton,yes,TRUE
272,1,2,female,41.00,0,1,19.5,S,Second,woman,FALSE,,Southampton,yes,FALSE
273,1,2,female,41.00,0,1,19.5,S,Second,woman,FALSE,,Southampton,yes,FALSE
274,0,1,male,37.00,0,1,29.7,C,First,man,TRUE,C,Cherbourg,no,FALSE
275,1,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
276,1,1,female,63.00,1,0,77.9583,S,First,woman,FALSE,D,Southampton,yes,FALSE
277,0,3,female,45.00,0,0,7.75,S,Third,woman,FALSE,,Southampton,no,TRUE
278,0,2,male,,0,0,0,S,Second,man,TRUE,,Southampton,no,TRUE
279,0,3,male,7.00,4,1,29.125,Q,Third,child,FALSE,,Queenstown,no,FALSE
280,1,3,female,35.00,1,1,20.25,S,Third,woman,FALSE,,Southampton,yes,FALSE
281,0,3,male,65.00,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE
282,0,3,male,28.00,0,0,7.8542,S,Third,man,TRUE,,Southampton,no,TRUE
283,0,3,male,16.00,0,0,9.5,S,Third,man,TRUE,,Southampton,no,TRUE
284,1,3,male,19.00,0,0,8.05,S,Third,man,TRUE,,Southampton,yes,TRUE
285,0,1,male,,0,0,26,S,First,man,TRUE,A,Southampton,no,TRUE
286,0,3,male,33.00,0,0,8.6625,C,Third,man,TRUE,,Cherbourg,no,TRUE
287,1,3,male,30.00,0,0,9.5,S,Third,man,TRUE,,Southampton,yes,TRUE
288,0,3,male,22.00,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
289,1,2,male,42.00,0,0,13,S,Second,man,TRUE,,Southampton,yes,TRUE
290,1,3,female,22.00,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
291,1,1,female,26.00,0,0,78.85,S,First,woman,FALSE,,Southampton,yes,TRUE
292,1,1,female,19.00,1,0,91.0792,C,First,woman,FALSE,B,Cherbourg,yes,FALSE
293,0,2,male,36.00,0,0,12.875,C,Second,man,TRUE,D,Cherbourg,no,TRUE
294,0,3,female,24.00,0,0,8.85,S,Third,woman,FALSE,,Southampton,no,TRUE
295,0,3,male,24.00,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
296,0,1,male,,0,0,27.7208,C,First,man,TRUE,,Cherbourg,no,TRUE
297,0,3,male,23.50,0,0,7.2292,C,Third,man,TRUE,,Cherbourg,no,TRUE
298,0,1,female,2.00,1,2,151.55,S,First,child,FALSE,C,Southampton,no,FALSE
299,1,1,male,,0,0,30.5,S,First,man,TRUE,C,Southampton,yes,TRUE
300,1,1,female,50.00,0,1,247.5208,C,First,woman,FALSE,B,Cherbourg,yes,FALSE
301,1,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
302,1,3,male,,2,0,23.25,Q,Third,man,TRUE,,Queenstown,yes,FALSE
303,0,3,male,19.00,0,0,0,S,Third,man,TRUE,,Southampton,no,TRUE
